Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,35.38,40.03,39.28,39.19,39.27,38.03,37.11,37.51,37.08,36.86,36.28,36.15,35.38,34.57,34.26,32.89,32.87,33.1,33.26,33.03,32.3,32.79,32.49,33.35
North America,43.95,38.43,38.27,37.69,37.83,37.85,36.84,35.2,34.2,34.24,33.16,31.98,32.57,32.12,30.07,29.03,28.26,26.91,25.79,25.53,25.04,24.91,24.89,24.48
Eurasia,0.5,0.49,1.08,1.04,0.86,1.1,1.26,1.25,1.18,1.62,1.77,1.94,2.31,3.62,4.29,5.93,7.39,8.92,10.31,11.55,11.92,12.13,12.05,11.75
Europe,9.38,9.91,10.9,11.3,10.48,10.73,12.78,13.15,13.68,13.35,13.47,14.31,13.77,13.54,13.36,12.68,12.38,12.22,12.29,11.73,11.49,11.31,11.17,10.89
Oceania,5.06,5.24,4.59,4.74,4.73,5.53,5.4,5.68,6.8,6.84,7.99,7.87,7.78,8.25,9.03,8.78,8.5,8.12,8.05,7.66,7.72,7.57,7.51,7.32
Africa,0.79,0.82,0.8,0.8,1.65,1.58,1.54,1.5,1.45,1.75,2.07,2.04,2.02,1.97,3.32,5.29,5.42,5.33,5.25,5.0,6.15,6.03,6.53,6.6
Central America and the Caribbean,4.94,5.07,5.07,5.24,5.18,5.18,5.06,5.7,5.59,5.34,5.26,5.7,6.17,5.93,5.66,5.4,5.18,5.21,5.05,5.22,5.1,4.98,5.02,5.06
South America,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,0.19,,0.29,0.28,0.28,0.35,0.55
Middle East,,,,,,,,,,,,,,,,,,,,,,,,
